,Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh
63,2020,HI,862771,2849114,442002,30.28
64,2020,IA,1815028,14567483,1403386,12.46
65,2020,ID,892473,8970751,782559,9.95
66,2020,IL,6021966,46170538,5339610,13.04
67,2020,IN,4217038,32878355,2920266,12.83
68,2020,KS,1747076,13592444,1282532,12.85
69,2020,KY,2818425,25935096,2013910,10.87
70,2020,LA,2942989,30440746,2112928,9.67
71,2020,MA,4468961,20345178,2817549,21.97
72,2020,MD,3551281,27306375,2376983,13.01
73,2020,ME,824665,4905263,717559,16.81
74,2020,MI,5831461,35862912,4423595,16.26
75,2020,MN,3020236,22935672,2464753,13.17
76,2020,MO,3922562,34950370,2833918,11.22
77,2020,MS,2010535,17994833,1308149,11.17
78,2020,MT,604844,5379965,522382,11.24
79,2020,NC,6672919,58641572,4695096,11.38
80,2020,ND,526673,5046551,387506,10.44
81,2020,NE,1135271,10514944,864842,10.8
82,2020,NH,911967,4790374,633234,19.04
83,2020,NJ,4756754,29676857,3618587,16.03
84,2020,NM,942023,7282079,905885,12.94
85,2020,NV,1624395,14321607,1226566,11.34
86,2020,NY,9596805,52257144,7239162,18.36
87,2020,OH,6457167,52552770,5014959,12.29
88,2020,OK,2350122,23232473,1795629,10.12
89,2020,OR,2191867,19628011,1785131,11.17
90,2020,PA,7511991,55307093,5448109,13.58
91,2020,RI,692840,3148021,441573,22.01
92,2020,SC,3940889,30826017,2377020,12.78
93,2020,SD,595509,5070024,407532,11.75
94,2020,TN,4420255,41084911,2930482,10.76
95,2020,TX,18322011,156414819,11515333,11.71
96,2020,UT,1100682,10546793,1143136,10.44
97,2020,VA,5542948,46088846,3506844,12.03
98,2020,VT,421376,2157001,316948,19.54
99,2020,WA,3639303,36858798,3168238,9.87
100,2020,WI,3271758,22846734,2742424,14.32
101,2020,WV,1283976,10877499,862279,11.8
102,2020,WY,319940,2879528,276029,11.11
103,2020,US,192663208,1464605046,136682001,13.15
104,2019,AK,441887,1928208,289290,22.92
105,2019,AL,4061182,32415646,2249425,12.53
106,2019,AR,1834859,18732316,1396870,9.8
107,2019,AZ,4317059,34720050,2853183,12.43
108,2019,CA,16763780,87523987,13707126,19.15
109,2019,CO,2362565,19404743,2370164,12.18
110,2019,CT,2732697,12493550,1510966,21.87
111,2019,DC,330687,2546920,282277,12.98
112,2019,DE,627984,5004131,439167,12.55
113,2019,FL,14882751,127181551,9565846,11.7
114,2019,GA,6979149,59331491,4411521,11.76
115,2019,HI,884847,2759774,438352,32.06
116,2019,IA,1805899,14494821,1392979,12.46
117,2019,ID,860048,8696843,763841,9.89
118,2019,IL,5890958,45220258,5314522,13.03
119,2019,IN,4182919,33249234,2887031,12.58
120,2019,KS,1732742,13630661,1274955,12.71
121,2019,KY,2869131,26573076,1991137,10.8
122,2019,LA,3035095,30986024,2095466,9.8
123,2019,MA,4233106,19314571,2802099,21.92
124,2019,MD,3611327,27533693,2352535,13.12
125,2019,ME,857569,4793809,710869,17.89
126,2019,MI,5273119,33495725,4384305,15.74
127,2019,MN,2906625,22288152,2446111,13.04
128,2019,MO,3975602,35691426,2811863,11.14
129,2019,MS,2108801,18717858,1293419,11.27
130,2019,MT,590943,5308103,516052,11.13
131,2019,NC,6834017,59852793,4620856,11.42
132,2019,ND,527970,5125431,385038,10.3
133,2019,NE,1109655,10307905,855619,10.77
134,2019,NH,903574,4506830,627257,20.05
135,2019,NJ,4534973,28612555,3596834,15.85
136,2019,NM,859664,6871561,895086,12.51
137,2019,NV,1544743,12867637,1204996,12.0
138,2019,NY,8995439,50141003,7235400,17.94
139,2019,OH,6464453,52226097,4980931,12.38
140,2019,OK,2429743,23805972,1777156,10.21
141,2019,OR,2123882,19286182,1763783,11.01
142,2019,PA,7508619,54396182,5418870,13.8
143,2019,RI,648292,2983012,444216,21.73
144,2019,SC,4048095,31159957,2330903,12.99
145,2019,SD,584266,5057032,403717,11.55
146,2019,TN,4628861,42573183,2914916,10.87
147,2019,TX,18286991,155481342,11366639,11.76
148,2019,UT,1013001,9739525,1116145,10.4
149,2019,VA,5632066,46666163,3464677,12.07
150,2019,VT,368721,2081545,316180,17.71
151,2019,WA,3544716,36512424,3126192,9.71
152,2019,WI,3117985,21995360,2720287,14.18
153,2019,WV,1254560,11153219,857666,11.25
154,2019,WY,318423,2849378,274881,11.18
155,2019,US,187436037,1440288909,135249616,13.01
156,2018,AK,433247,1974906,287526,21.94
157,2018,AL,4027603,33080380,2229472,12.18
158,2018,AR,1888657,19259204,1388358,9.81
159,2018,AZ,4425192,34660297,2808352,12.77
160,2018,CA,16782222,89099985,13591152,18.84
161,2018,CO,2342778,19286952,2326976,12.15
162,2018,CT,2769111,13061372,1503701,21.2
163,2018,DC,332869,2592242,274613,12.84
164,2018,DE,635362,5070175,432449,12.53
165,2018,FL,14485280,125528047,9423022,11.54
166,2018,GA,6847325,59689106,4354021,11.47
167,2018,HI,880207,2710698,436266,32.47
168,2018,IA,1817122,14840349,1385756,12.24
169,2018,ID,855157,8427578,743567,10.15
170,2018,IL,6028532,47225915,5289573,12.77
171,2018,IN,4239862,34574664,2863358,12.26
172,2018,KS,1894142,14187192,1266044,13.35
173,2018,KY,2936379,27712722,1980209,10.6
174,2018,LA,3074086,32065538,2085055,9.59
175,2018,MA,4383449,20284674,2784243,21.61
176,2018,MD,3741620,28138474,2332517,13.3
177,2018,ME,820564,4872001,709848,16.84
178,2018,MI,5426835,35131422,4365529,15.45
179,2018,MN,3001391,22837140,2420325,13.14
180,2018,MO,4248638,37463390,2792459,11.34
181,2018,MS,2146535,19310527,1290281,11.12
182,2018,MT,569768,5197686,509526,10.96
183,2018,NC,6834735,61622454,4550420,11.09
184,2018,ND,526145,5133171,382596,10.25
185,2018,NE,1114442,10412008,849898,10.7
186,2018,NH,913613,4641013,622671,19.69
187,2018,NJ,4550431,29530689,3568044,15.41
188,2018,NM,865755,6826442,889841,12.68
189,2018,NV,1593360,13449743,1183660,11.85
190,2018,NY,9658622,52153246,7190906,18.52
191,2018,OH,6839823,54451714,4964855,12.56
192,2018,OK,2484031,24116808,1764980,10.3
193,2018,OR,2079228,18930583,1750240,10.98
194,2018,PA,7764870,55896453,5390428,13.89
195,2018,RI,642041,3124168,442005,20.55
196,2018,SC,3962861,31852419,2290200,12.44
197,2018,SD,581764,5018360,400150,11.59
198,2018,TN,4751657,44381957,2882992,10.71
199,2018,TX,17609632,157267913,11148784,11.2
200,2018,UT,1011446,9714507,1091162,10.41
201,2018,VA,5624478,47962606,3431574,11.73
202,2018,VT,381309,2116045,315138,18.02
203,2018,WA,3446381,35338978,3076868,9.75
204,2018,WI,3146091,22441335,2700245,14.02
205,2018,WV,1306097,11679455,859039,11.18
206,2018,WY,310226,2748356,272427,11.29
207,2018,US,189032969,1469093059,133893321,12.87
208,2017,AK,438240,2060349,285697,21.27
209,2017,AL,3786699,30181045,2213592,12.55
210,2017,AR,1749676,17026779,1380157,10.28
211,2017,AZ,4259275,34251220,2764355,12.44
212,2017,CA,16500848,90123505,13548295,18.31
213,2017,CO,2264556,18615000,2288358,12.17
214,2017,CT,2512033,12379520,1495577,20.29
215,2017,DC,309764,2394652,267448,12.94
216,2017,DE,622385,4662598,426071,13.35
217,2017,FL,14097730,121462622,9291707,11.61
218,2017,GA,6516806,54771449,4296977,11.9
219,2017,HI,775853,2629679,432952,29.5
220,2017,IA,1692832,13721869,1375599,12.34
221,2017,ID,876364,8727901,727568,10.04
222,2017,IL,5661904,43717391,5264333,12.95
223,2017,IN,3878281,31551558,2834090,12.29
224,2017,KS,1732461,13013422,1259226,13.31
225,2017,KY,2699918,24882582,1971002,10.85
226,2017,LA,2874957,29531960,2073615,9.74
227,2017,MA,3879096,19337799,2766154,20.06
228,2017,MD,3640765,26084176,2313189,13.96
229,2017,ME,740677,4638535,707792,15.97
230,2017,MI,5078011,32977374,4344321,15.4
231,2017,MN,2813969,21573800,2403168,13.04
232,2017,MO,3843968,33051080,2771123,11.63
233,2017,MS,1932657,17444016,1284578,11.08
234,2017,MT,572287,5224588,503313,10.95
235,2017,NC,6138404,56133960,4488039,10.94
236,2017,ND,498902,4848305,380101,10.29
237,2017,NE,1060436,9667990,841965,10.97
238,2017,NH,852981,4441497,618356,19.2
239,2017,NJ,4344094,27761879,3536087,15.65
240,2017,NM,836772,6497207,880867,12.88
241,2017,NV,1550498,12936791,1263101,11.99
242,2017,NY,8849146,49080757,7144413,18.03
243,2017,OH,6287043,49795540,4936471,12.63
244,2017,OK,2316983,21837596,1751034,10.61
245,2017,OR,2138505,20065930,1725884,10.66
246,2017,PA,7359033,51724498,5356693,14.23
247,2017,RI,554752,3028267,437124,18.32
248,2017,SC,3804261,29224971,2251558,13.02
249,2017,SD,547554,4652890,396564,11.77
250,2017,TN,4213506,39292528,2847696,10.72
251,2017,TX,15886368,144242131,10809494,11.01
252,2017,UT,1041820,9510783,1063292,10.95
253,2017,VA,5078889,43982440,3398529,11.55
254,2017,VT,357641,2023424,313670,17.68
255,2017,WA,3600615,37282901,3037674,9.66
256,2017,WI,3045972,21233154,2681341,14.35
257,2017,WV,1229699,10573463,858961,11.63
258,2017,WY,315284,2772371,270576,11.37
259,2017,US,177661167,1378647742,132579747,12.89
260,2016,AK,407365,2006392,283260,20.3
261,2016,AL,3843395,32055546,2200574,11.99
262,2016,AR,1764930,17784233,1368867,9.92
263,2016,AZ,4094426,33690783,2725510,12.15
264,2016,CA,15359796,88311069,13445133,17.39
265,2016,CO,2273979,18833722,2260068,12.07
266,2016,CT,2536772,12676983,1486741,20.01
267,2016,DC,307506,2501892,259392,12.29
268,2016,DE,639086,4763106,419234,13.42
269,2016,FL,13545273,123320547,9149214,10.98
270,2016,GA,6659243,57889379,4240421,11.5
271,2016,HI,717390,2611727,430941,27.47
272,2016,IA,1682433,14093678,1358902,11.94
273,2016,ID,813497,8172022,714365,9.95
274,2016,IL,5764945,45990052,5231541,12.54
275,2016,IN,3892459,33025955,2821546,11.79
276,2016,KS,1764173,13509235,1252846,13.06
277,2016,KY,2763077,26338437,1957188,10.49
278,2016,LA,2861963,30650067,2059699,9.34
279,2016,MA,3741859,19692896,2740865,19.0
280,2016,MD,3886430,27316871,2288301,14.23
281,2016,ME,725746,4585825,699321,15.83
282,2016,MI,5258083,34543262,4311008,15.22
283,2016,MN,2762790,21803791,2378681,12.67
284,2016,MO,3850746,34354932,2751460,11.21
285,2016,MS,1931958,18458928,1278616,10.47
286,2016,MT,530661,4852547,497170,10.94
287,2016,NC,6446114,58456809,4423532,11.03
288,2016,ND,481747,4741298,377739,10.16
289,2016,NE,1055594,9738351,834038,10.84
290,2016,NH,815783,4438407,612716,18.38
291,2016,NJ,4573774,29090726,3510141,15.72
292,2016,NM,799336,6642511,876921,12.03
293,2016,NV,1447619,12691942,1143667,11.41
294,2016,NY,8933623,50831287,7118901,17.58
295,2016,OH,6551231,52524141,4911597,12.47
296,2016,OK,2323581,22789715,1736819,10.2
297,2016,OR,1980615,18573242,1706622,10.66
298,2016,PA,7470000,53877130,5335555,13.86
299,2016,RI,573662,3081562,438507,18.62
300,2016,SC,3873817,30615596,2209783,12.65
301,2016,SD,529582,4618724,392187,11.47
302,2016,TN,4349574,41773888,2812287,10.41
303,2016,TX,16048319,145973181,10521732,10.99
304,2016,UT,1032342,9370656,1041823,11.02
305,2016,VA,5131025,45186057,3362985,11.36
306,2016,VT,357128,2056402,312239,17.37
307,2016,WA,3244682,34211748,2985799,9.48
308,2016,WI,3069410,21814249,2662284,14.07
309,2016,WV,1301903,11375581,860375,11.44
310,2016,WY,306298,2751073,269647,11.13
311,2016,US,177076738,1411058153,131068760,12.55
312,2015,AK,405270,2044184,282282,19.83
313,2015,AL,3731831,31908530,2182616,11.7
314,2015,AR,1794303,18273389,1356658,9.82
315,2015,AZ,4023333,33167205,2689223,12.13
316,2015,CA,15187827,89386373,13380684,16.99
317,2015,CO,2227990,18384936,2225725,12.12
318,2015,CT,2699306,12892862,1468958,20.94
319,2015,DC,324309,2497559,247469,12.99
320,2015,DE,650835,4848998,413445,13.42
321,2015,FL,14216590,122759472,8963967,11.58
322,2015,GA,6511155,56421650,4191209,11.54
323,2015,HI,781896,2641336,428339,29.6
324,2015,IA,1603951,13786328,1356600,11.63
325,2015,ID,799700,8054693,701447,9.93
326,2015,IL,5581101,44645638,5172653,12.5
327,2015,IN,3753084,32441693,2804861,11.57
328,2015,KS,1634552,13241682,1231830,12.34
329,2015,KY,2680343,26168093,1947068,10.24
330,2015,LA,2943587,31545313,2043760,9.33
331,2015,MA,4000022,20175317,2794918,19.83
332,2015,MD,3786876,27403336,2255556,13.82
333,2015,ME,727922,4662301,699241,15.61
334,2015,MI,4810815,33357876,4282858,14.42
335,2015,MN,2630742,21713970,2374674,12.12
336,2015,MO,3799962,33911760,2734553,11.21
337,2015,MS,2092177,18561101,1270397,11.27
338,2015,MT,525004,4825213,491422,10.88
339,2015,NC,6531847,57901557,4336698,11.28
340,2015,ND,467895,4862542,371501,9.62
341,2015,NE,1010527,9532132,825940,10.6
342,2015,NH,837549,4526948,607465,18.5
343,2015,NJ,4607270,29142283,3489111,15.81
344,2015,NM,828169,6641724,871047,12.47
345,2015,NV,1574103,12338538,1126220,12.76
346,2015,NY,9456188,51012745,7079097,18.54
347,2015,OH,6590569,51492954,4892916,12.8
348,2015,OK,2293592,22615824,1723938,10.14
349,2015,OR,1948315,18269007,1686973,10.66
350,2015,PA,7423145,54418663,5304279,13.64
351,2015,RI,604825,3135506,440191,19.29
352,2015,SC,3778451,30059188,2185965,12.57
353,2015,SD,506522,4571325,388374,11.08
354,2015,TN,4291880,41667411,2783058,10.3
355,2015,TX,16838434,145651913,10318006,11.56
356,2015,UT,992264,9117153,1021839,10.88
357,2015,VA,5221259,45928411,3332083,11.37
358,2015,VT,356986,2088940,312060,17.09
359,2015,WA,3098110,34071987,2945760,9.09
360,2015,WI,2994383,21214787,2647224,14.11
361,2015,WV,1153344,11437451,861334,10.08
362,2015,WY,293517,2676702,268226,10.97
363,2015,US,177623623,1404096499,129811718,12.65
364,2014,AK,391068,2043614,281438,19.14
365,2014,AL,3781917,32929598,2169790,11.48
366,2014,AR,1753284,18441119,1345009,9.51
367,2014,AZ,3848998,32346079,2661694,11.9
368,2014,CA,14517393,89360680,13256068,16.25
369,2014,CO,2203838,18092932,2193520,12.18
370,2014,CT,2523349,12777579,1459239,19.75
371,2014,DC,263973,2072205,239355,12.74
372,2014,DE,617400,4644841,407508,13.29
373,2014,FL,13854538,116535263,8891020,11.89
374,2014,GA,6659464,57167387,4137057,11.65
375,2014,HI,957073,2583770,425168,37.04
376,2014,IA,1610036,14426582,1348641,11.16
377,2014,ID,791099,8134913,690277,9.72
378,2014,IL,5481125,46009458,5145022,11.91
379,2014,IN,3861636,33703965,2784660,11.46
380,2014,KS,1665583,13684952,1228858,12.17
381,2014,KY,2785001,27399768,1939489,10.16
382,2014,LA,3005472,31400683,2026223,9.57
383,2014,MA,3490569,20071160,2720128,17.39
384,2014,MD,3746115,27487633,2234962,13.63
385,2014,ME,711813,4660605,706952,15.27
386,2014,MI,4846496,33514991,4273126,14.46
387,2014,MN,2737895,22791466,2345860,12.01
388,2014,MO,3807788,35792644,2724541,10.64
389,2014,MS,2141264,18922097,1263583,11.32
390,2014,MT,505962,4969243,485041,10.18
391,2014,NC,6511383,58649994,4303476,11.1
392,2014,ND,490071,5357514,360171,9.15
393,2014,NE,1043023,10028238,817425,10.4
394,2014,NH,790656,4510487,606883,17.53
395,2014,NJ,4400228,27892582,3470874,15.78
396,2014,NM,812034,6611970,869875,12.28
397,2014,NV,1541121,11916521,1110535,12.93
398,2014,NY,10031316,49974914,7046829,20.07
399,2014,OH,6598181,52804334,4882159,12.5
400,2014,OK,2343199,23351144,1710352,10.03
401,2014,OR,1948732,18617613,1669124,10.47
402,2014,PA,7217831,54195335,5289211,13.32
403,2014,RI,527116,3070347,438879,17.17
404,2014,SC,3824288,30715986,2157091,12.45
405,2014,SD,505345,4827368,384749,10.47
406,2014,TN,4392023,42538248,2756932,10.32
407,2014,TX,16715817,140899744,10138874,11.86
408,2014,UT,954231,8963971,1000416,10.65
409,2014,VA,5155281,46443716,3303676,11.1
410,2014,VT,370673,2121347,310932,17.47
411,2014,WA,3040586,35082958,2907705,8.67
412,2014,WI,2996152,21925712,2631430,13.67
413,2014,WV,1119698,11990728,862869,9.34
414,2014,WY,288879,2752313,265720,10.5
415,2014,US,176178008,1407208311,128680416,12.52
416,2013,AK,381181,2103966,277275,18.12
417,2013,AL,3532584,31378659,2158898,11.26
418,2013,AR,1746489,18219287,1339680,9.59
419,2013,AZ,3877986,33103602,2630595,11.71
420,2013,CA,14481054,89241934,13256426,16.23
421,2013,CO,2210316,18528908,2169365,11.93
422,2013,CT,2305821,13135451,1454963,17.55
423,2013,DC,255575,2033618,235322,12.57
424,2013,DE,591965,4570013,403519,12.95
425,2013,FL,12770123,113293913,8756322,11.27
426,2013,GA,6135755,53544411,4101351,11.46
427,2013,HI,964882,2608853,422386,36.98
428,2013,IA,1614968,14625866,1341807,11.04
429,2013,ID,803665,8619262,680930,9.32
430,2013,IL,4927661,46372234,5120607,10.63
431,2013,IN,3672739,33406630,2771260,10.99
432,2013,KS,1582807,13593003,1222985,11.64
433,2013,KY,2623038,26788098,1935245,9.79
434,2013,LA,2895482,30709206,2011044,9.43
435,2013,MA,3282074,20727624,2708759,15.83
436,2013,MD,3638091,27448367,2218948,13.25
437,2013,ME,669227,4662303,704775,14.35
438,2013,MI,4962369,34013168,4265264,14.59
439,2013,MN,2698103,22849542,2329734,11.81
440,2013,MO,3745002,35318204,2708934,10.6
441,2013,MS,1989585,18462415,1260892,10.78
442,2013,MT,508873,4926471,477266,10.33
443,2013,NC,6172487,56251297,4268019,10.97
444,2013,ND,459360,5038846,348486,9.12
445,2013,NE,1037786,10062159,810867,10.31
446,2013,NH,743587,4553871,603628,16.33
447,2013,NJ,4489692,28544638,3461109,15.73
448,2013,NM,794916,6803987,865195,11.68
449,2013,NV,1444315,12142431,1094770,11.89
450,2013,NY,9543510,50777369,7027866,18.79
451,2013,OH,6264302,52158094,4875346,12.01
452,2013,OK,2244427,23199968,1693151,9.67
453,2013,OR,1913137,19328558,1650803,9.9
454,2013,PA,6938374,54251847,5272857,12.79
455,2013,RI,481014,3164692,438198,15.2
456,2013,SC,3455720,28812518,2135432,11.99
457,2013,SD,494855,4824150,381081,10.26
458,2013,TN,4083088,40905924,2738547,9.98
459,2013,TX,15926136,140272607,9954303,11.35
460,2013,UT,974822,9401748,981194,10.37
461,2013,VA,4924510,45416253,3273502,10.84
462,2013,VT,364245,2125435,311308,17.14
463,2013,WA,3129362,35983486,2880008,8.7
464,2013,WI,2993098,22095922,2619676,13.55
465,2013,WV,1103102,11581825,863641,9.52
466,2013,WY,287380,2829496,263614,10.16
467,2013,US,169130640,1394812129,127777153,12.13
468,2012,AK,386304,2160196,275405,17.88
469,2012,AL,3491380,30632261,2150977,11.4
470,2012,AR,1664696,17909301,1332154,9.3
471,2012,AZ,3718357,32922970,2585638,11.29
472,2012,CA,13821565,90109995,13101887,15.34
473,2012,CO,2087889,18220365,2149637,11.46
474,2012,CT,2212594,12757633,1454651,17.34
475,2012,DC,245940,2002527,231550,12.28
476,2012,DE,614037,4521682,399998,13.58
477,2012,FL,12806820,112127056,8645207,11.42
478,2012,GA,5996286,53660167,4071478,11.17
479,2012,HI,1022944,2739298,419612,37.34
480,2012,IA,1513376,13987613,1334596,10.82
481,2012,ID,707181,8159349,673368,8.67
482,2012,IL,5335088,46901870,5098647,11.38
483,2012,IN,3469890,32963522,2755595,10.53
484,2012,KS,1551102,13796679,1217256,11.24
485,2012,KY,2460674,26096707,1924644,9.43
486,2012,LA,2514353,30026588,1995661,8.37
487,2012,MA,3029292,20313469,2699141,14.91
488,2012,MD,3424556,26678158,2212287,12.84
489,2012,ME,656822,4480736,703770,14.66
490,2012,MI,4871034,34461140,4250620,14.13
491,2012,MN,2504491,22059631,2317336,11.35
492,2012,MO,3491827,34336615,2699287,10.17
493,2012,MS,1846707,17992708,1256392,10.26
494,2012,MT,481814,4778365,473033,10.08
495,2012,NC,5962720,54671521,4230588,10.91
496,2012,ND,406332,4484758,342549,9.06
497,2012,NE,972315,9680143,806524,10.04
498,2012,NH,713388,4439208,601697,16.07
499,2012,NJ,4523770,28662958,3455302,15.78
500,2012,NM,769384,6763820,859281,11.38
501,2012,NV,1433832,12122718,1080583,11.83
502,2012,NY,8929713,50691506,7010740,17.62
503,2012,OH,6148489,52287769,4869305,11.76
504,2012,OK,2168292,22809680,1679296,9.51
505,2012,OR,1848670,18854659,1642444,9.8
506,2012,PA,6741627,52876058,5261381,12.75
507,2012,RI,449604,3121367,435448,14.4
508,2012,SC,3338098,28366263,2113144,11.77
509,2012,SD,448375,4453732,378633,10.07
510,2012,TN,4015594,39753631,2721099,10.1
511,2012,TX,15087710,137411633,9802110,10.98
512,2012,UT,912330,9188204,966063,9.93
513,2012,VA,4822893,43534675,3248518,11.08
514,2012,VT,356325,2095283,309019,17.01
515,2012,WA,3028281,35510961,2852760,8.53
516,2012,WI,2905404,22026353,2609168,13.19
517,2012,WV,1102691,11194679,865673,9.85
518,2012,WY,267506,2716528,261191,9.85
519,2012,US,163280360,1374514708,126832343,11.88
520,2011,AK,376005,2134422,273855,17.62
521,2011,AL,3661470,33002815,2142625,11.09
522,2011,AR,1693836,18787349,1328286,9.02
523,2011,AZ,3666153,33079074,2575586,11.08
524,2011,CA,13060946,88398416,13002980,14.78
525,2011,CO,2059155,18276799,2141780,11.27
526,2011,CT,2338980,12918796,1453864,18.11
527,2011,DC,276154,2061392,229450,13.4
528,2011,DE,634568,4632094,398109,13.7
529,2011,FL,13388983,116341105,8575892,11.51
530,2011,GA,6383601,57749519,4056147,11.05
531,2011,HI,1015685,2928743,417531,34.68
532,2011,IA,1499148,14326771,1329905,10.46
533,2011,ID,660576,8389866,667243,7.87
534,2011,IL,5545106,47057002,5089449,11.78
535,2011,IN,3410413,33912098,2744879,10.06
536,2011,KS,1527025,14343748,1215411,10.65
537,2011,KY,2502968,27197836,1928523,9.2
538,2011,LA,2869880,32019040,1979175,8.96
539,2011,MA,3003305,20472512,2693548,14.67
540,2011,MD,3634386,27295675,2208015,13.31
541,2011,ME,674079,4381536,701335,15.38
542,2011,MI,4621167,34811337,4249136,13.27
543,2011,MN,2469487,22523727,2308736,10.96
544,2011,MO,3502911,35941243,2693261,9.75
545,2011,MS,1966085,19336430,1251640,10.17
546,2011,MT,479166,4913110,469963,9.75
547,2011,NC,5954615,58055878,4201898,10.26
548,2011,ND,390772,4552228,330738,8.58
549,2011,NE,927342,9946973,805671,9.32
550,2011,NH,735832,4454088,599532,16.52
551,2011,NJ,4772503,29398870,3457325,16.23
552,2011,NM,755858,6873748,856128,11.0
553,2011,NV,1334069,11493279,1067944,11.61
554,2011,NY,9356966,51239599,6987631,18.26
555,2011,OH,6133425,53687111,4874482,11.42
556,2011,OK,2313030,24425027,1667223,9.47
557,2011,OR,1852603,19429175,1633551,9.54
558,2011,PA,7265435,54795633,5249827,13.26
559,2011,RI,448530,3129446,432430,14.33
560,2011,SC,3404928,30801731,2101585,11.05
561,2011,SD,434655,4646384,374260,9.35
562,2011,TN,4298018,43067861,2708113,9.98
563,2011,TX,16141983,145654228,9621481,11.08
564,2011,UT,801966,8946741,946468,8.96
565,2011,VA,4871349,45771144,3225395,10.64
566,2011,VT,345525,2124533,308992,16.26
567,2011,WA,3010493,36376143,2837631,8.28
568,2011,WI,2884512,22149941,2601879,13.02
569,2011,WV,1103040,11746151,868036,9.39
570,2011,WY,255263,2802726,258528,9.11
571,2011,US,166713948,1422801093,126143072,11.72
572,2010,AK,340340,2093217,271956,16.26
573,2010,AL,3790734,35529292,2138911,10.67
574,2010,AR,1702938,19230961,1322833,8.86
575,2010,AZ,3558161,32448138,2554213,10.97
576,2010,CA,12873565,87256946,12947917,14.75
577,2010,CO,1997858,18102386,2128507,11.04
578,2010,CT,2514466,13065275,1451808,19.25
579,2010,DC,297450,2123312,227550,14.01
580,2010,DE,657103,4759973,396114,13.8
581,2010,FL,13982240,122244650,8529204,11.44
582,2010,GA,6198370,61554498,4054145,10.07
583,2010,HI,840072,2989499,414568,28.1
584,2010,IA,1516862,14554888,1327896,10.42
585,2010,ID,649759,8136736,664717,7.99
586,2010,IL,5599019,48582984,5070056,11.52
587,2010,IN,3350355,35058372,2742789,9.56
588,2010,KS,1437102,14334086,1213036,10.03
589,2010,KY,2496770,29136518,1930666,8.57
590,2010,LA,2935169,32678931,1973174,8.98
591,2010,MA,3124528,21409005,2674717,14.59
592,2010,MD,4142935,28934074,2200368,14.32
593,2010,ME,687037,4371835,699625,15.72
